#thise are the data exported without any corrections
token	lemma	pos	morph	Dis	treated
iure	ius1	NOMcom	Case=Abl|Numb=Sing	1	iure
ciuili	ciuilis	ADJqua	Case=Abl|Numb=Sing|Gend=Com|Deg=Pos	_	ciuili
Roman	Roma	NOMpro	Case=Voc|Numb=Sing	_	Roman
.	.	PUNC	MORPH=empty	_	--IGN.--
L.	Lucius	NOMpro	Case=Nom|Numb=Sing	_	L
mulieres	mulier	NOMcom	Case=Nom|Numb=Plur	_	mulieres
D.	Decimus	NOMpro	Case=Nom|Numb=Sing	_	D
de	de	PRE	MORPH=empty	_	de
Regul	Regulus	NOMpro	Case=Abl|Numb=Sing	_	Regul
.	.	PUNC	MORPH=empty	_	--IGN.--
Iuris	ius1	NOMcom	Case=Gen|Numb=Sing	1	Iuris
mulieres	mulier	NOMcom	Case=Nom|Numb=Plur	_	mulieres
à	ab	PRE	MORPH=empty	_	a
virilibus	uirilis	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos	_	uirilibus
muneribus	munus	NOMcom	Case=Abl|Numb=Plur	_	muneribus
et	et2	CONcoo	MORPH=empty	2	et
officijs	officium	NOMcom	Case=Abl|Numb=Plur	_	officiis
administrandis	administro	VER	Case=Abl|Numb=Plur|Gend=Com|Mood=Adj|Voice=Pass	_	administrandis
rectè	recte	ADV	Deg=Pos	_	recte
arcentur	arceo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	arcentur
:	:	PUNC	MORPH=empty	_	--IGN.--
qualia	qualis1	PROrel	Case=Nom|Numb=Plur|Gend=Neut	2	qualia
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	sunt
etiam	etiam	ADV	Deg=Pos	_	etiam
quæ	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Neut	1	quae
in	in	PRE	MORPH=empty	_	in
publico	publicum	NOMcom	Case=Abl|Numb=Sing	_	publico
exerceri	exerceo	VER	Mood=Inf|Tense=Pres|Voice=Pass	_	exerceri
debent	debeo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	debent
.	.	PUNC	MORPH=empty	_	--IGN.--
Et	et2	CONcoo	Deg=Pos	2	Et
illud	ille	PROdem	Case=Nom|Numb=Sing|Gend=Neut	_	illud
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
August	Augus	NOMpro	Case=Nom|Numb=Sing	_	August
{August}	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	August
.	.	PUNC	MORPH=empty	_	--IGN.--
lib	lib	NOMcom	Numb=Sing	_	lib
.	.	PUNC	MORPH=empty	_	--IGN.--
1	1	ADJcar	MORPH=empty	_	1
.	.	PUNC	MORPH=empty	_	--IGN.--
de	de	PRE	MORPH=empty	_	de
Nupt	nupti	VER	Numb=Sing	_	Nupt
.	.	PUNC	MORPH=empty	_	--IGN.--
cap	capio2	VER	Numb=Sing	_	cap
.	.	PUNC	MORPH=empty	_	--IGN.--
9	3	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
Nec	nec2	CONcoo	MORPH=empty	2	Nec
dubitari	dubito	VER	Mood=Inf|Tense=Pres|Voice=Pass	_	dubitari
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	potest
viros	uir	NOMcom	Case=Acc|Numb=Plur	_	uiros
potius	potius	ADV	Deg=Comp	_	potius
fœminis	foemen	NOMcom	Case=Gen|Numb=Sing	_	foeminis
,	,	PUNC	MORPH=empty	_	--IGN.--
quàm	quam1	ADVrel	MORPH=empty	1	quam
fœminas	foemina	ADJqua	Case=Acc|Numb=Plur	_	foeminas
viris	uir	NOMcom	Case=Acc|Numb=Plur	_	uiris
principari	principarus	VER	Mood=Inf|Tense=Pres|Voice=Pass	_	principari
.	.	PUNC	MORPH=empty	_	--IGN.--
Vnde	unde2	ADVint	MORPH=empty	1	Unde
non	non	ADVneg	MORPH=empty	_	non
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	potest
mulier	mulier	NOMcom	Case=Nom|Numb=Sing	_	mulier
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	1	esse
Roman	Roma	NOMpro	Case=Nom|Numb=Sing	_	Roman
.	.	PUNC	MORPH=empty	_	--IGN.--
imperatrix	imperatrix	NOMcom	Case=Nom|Numb=Sing	_	imperatrix
et	et2	CONcoo	MORPH=empty	2	et
regina	regina	NOMcom	Case=Nom|Numb=Sing	_	regina
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
cùm	cum2	PRE	MORPH=empty	2	cum
Athalia	Athalia	NOMpro	Case=Abl|Numb=Sing	_	Athalia
in	in	PRE	MORPH=empty	_	in
ludæa	Ludaea	ADJqua	Case=Abl|Numb=Sing	_	ludaea
et	et2	CONcoo	MORPH=empty	2	et
Irene	Irenes	NOMpro	Case=Nom|Numb=Sing	_	Irene
mater	mater	NOMcom	Case=Nom|Numb=Sing	_	mater
Constantini	Constantinus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	_	Constantini
tertij	tertius	ADJord	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Pos	_	tertii
imperium	imperium	NOMcom	Case=Acc|Numb=Sing	_	imperium
Constantinopoli	Constantinopolis	VER	Case=Gen|Numb=Sing	_	Constantinopoli
.	.	PUNC	MORPH=empty	_	--IGN.--
gerere	gero	VER	Mood=Inf|Tense=Pres|Voice=Act	_	gerere
voluit	uolo3	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	3	uoluit
,	,	PUNC	MORPH=empty	_	--IGN.--
vtraque	uterque	PROind	Case=Acc|Numb=Plur|Gend=Neut	_	utraque
omnia	omnis	PROind	Case=Acc|Numb=Plur|Gend=Neut	_	omnia
subuertit	subuerto	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	_	subuertit
,	,	PUNC	MORPH=empty	_	--IGN.--
Idolorũ	Idolorus	NOMpro	Case=Nom|Numb=Sing	_	Idoloru
cultum	cultus1	VER	Case=Acc|Numb=Sing	1	cultum
in	in	PRE	MORPH=empty	_	in
Dei	deus	NOMcom	Case=Gen|Numb=Sing	_	Dei
Ecclesiam	Ecclesia	NOMpro	Case=Acc|Numb=Sing	_	Ecclesiam
inuexit	inueho	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	_	inuexit
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
hæc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut	1	haec
Saracenis	Saracenus	NOMpro	Case=Dat|Numb=Plur|Gend=Com	_	Saracenis
Roma	Roma	NOMpro	Case=Nom|Numb=Sing	_	Roma
.	.	PUNC	MORPH=empty	_	--IGN.--
imperium	imperium	NOMcom	Case=Acc|Numb=Sing	_	imperium
lacerandum	lacero	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass	_	lacerandum
obiecit	obicio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	_	obiecit
.	.	PUNC	MORPH=empty	_	--IGN.--
Vnde	unde1	ADVrel	MORPH=empty	1	Unde
et	et1	ADV	Deg=Pos	2	et
Carolus	Carolus	NOMpro	Case=Nom|Numb=Sing	_	Carolus
Magnus	Magnus	NOMpro	Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos	_	Magnus
fuit	sum1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	1	fuit
tunc	tunc	ADV	Deg=Pos	_	tunc
temporis	tempus1	NOMcom	Case=Gen|Numb=Sing	1	temporis
in	in	PRE	MORPH=empty	_	in
Romanum	Romanus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos	_	Romanum
imperium	imperium	NOMcom	Case=Acc|Numb=Sing	_	imperium
asciscendus	ascisco	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Pass	_	asciscendus
in	in	PRE	MORPH=empty	_	in
Occidente	Occidens	NOMpro	Case=Abl|Numb=Sing	_	Occidente
:	:	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
Nicephorus	Nicephorus	NOMpro	Case=Nom|Numb=Sing	_	Nicephorus
in	in	PRE	MORPH=empty	_	in
Oriente	Oriens	NOMpro	Case=Abl|Numb=Sing	_	Oriente
.	.	PUNC	MORPH=empty	_	--IGN.--
Vbi	ubi3	CONsub	MORPH=empty	3	Ubi
autem	autem	CONcoo	MORPH=empty	_	autem
inferiores	inferus	ADJqua	Case=Nom|Numb=Plur|Gend=MascFem|Deg=Comp	_	inferiores
iurisdictiones	iurisdictio	NOMcom	Case=Nom|Numb=Plur	_	iurisdictiones
quales	qualis1	PROrel	Case=Nom|Numb=Plur|Gend=MascFem	1	quales
Ducum	dux	NOMcom	Case=Gen|Numb=Plur	_	Ducum
,	,	PUNC	MORPH=empty	_	--IGN.--
Comitum	comes	NOMcom	Case=Gen|Numb=Plur	_	Comitum
,	,	PUNC	MORPH=empty	_	--IGN.--
Baronum	Baron	NOMpro	Case=Gen|Numb=Plur	_	Baronum
,	,	PUNC	MORPH=empty	_	--IGN.--
Castellanorum	Castellani	NOMpro	Case=Gen|Numb=Plur	_	Castellanorum
,	,	PUNC	MORPH=empty	_	--IGN.--
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	sunt
patrimoniales	patrimonialis	ADJqua	Case=Nom|Numb=Plur|Gend=MascFem|Deg=Pos	_	patrimoniales
,	,	PUNC	MORPH=empty	_	--IGN.--
vt	ut1	ADVrel	MORPH=empty	4	ut
in	in	PRE	MORPH=empty	_	in
Gallia	Gallia	NOMpro	Case=Abl|Numb=Sing	_	Gallia
,	,	PUNC	MORPH=empty	_	--IGN.--
illæ	ille	PROdem	Case=Nom|Numb=Plur|Gend=Fem	_	illae
à	ab	PRE	MORPH=empty	_	a
mulieribus	mulier	NOMcom	Case=Abl|Numb=Plur	_	mulieribus
haberi	habeo	VER	Mood=Inf|Tense=Pres|Voice=Pass	_	haberi
et	et2	CONcoo	MORPH=empty	2	et
possideri	possideo	VER	Mood=Inf|Tense=Pres|Voice=Pass	_	possideri
possunt	possum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	possunt
,	,	PUNC	MORPH=empty	_	--IGN.--
meo	meus	PROpos	Case=Abl|Numb=Sing|Gend=MascNeut	_	meo
quidem	quidem	ADV	Deg=Pos	_	quidem
iudicio	iudicium	NOMcom	Case=Abl|Numb=Sing	_	iudicio
,	,	PUNC	MORPH=empty	_	--IGN.--
quia	quia	CONsub	MORPH=empty	_	quia
non	non	ADVneg	MORPH=empty	_	non
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	sunt
summa	superus	ADJqua	Case=Nom|Numb=Plur|Gend=Neut|Deg=Sup	_	summa
imperia	imperium	NOMcom	Case=Nom|Numb=Plur	_	imperia
istæ	iste	PROdem	Case=Nom|Numb=Plur|Gend=Fem	_	istae
dignitates	dignitas	NOMcom	Case=Nom|Numb=Plur	_	dignitates
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
officia	officium	NOMcom	Case=Nom|Numb=Plur	_	officia
:	:	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
tamẽ	tame	ADV	Numb=Sing|Deg=Pos	_	tame
ab	ab	PRE	MORPH=empty	_	ab
iisdem	idem	PROdem	Case=Abl|Numb=Plur|Gend=Com	_	iisdem
mulieribus	mulier	NOMcom	Case=Abl|Numb=Plur	_	mulieribus
nec	nec2	CONcoo	MORPH=empty	2	nec
possunt	possum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	possunt
,	,	PUNC	MORPH=empty	_	--IGN.--
nec	nec2	CONcoo	MORPH=empty	2	nec
debent	debeo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	debent
hæ	hic1	PROdem	Case=Nom|Numb=Plur|Gend=Fem	1	hae
iurisdictiones	iurisdictio	NOMcom	Case=Nom|Numb=Plur	_	iurisdictiones
exerceri	exerceo	VER	Mood=Inf|Tense=Pres|Voice=Pass	_	exerceri
:	:	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
à	ab	PRE	MORPH=empty	_	a
viris	uir	NOMcom	Case=Abl|Numb=Plur	_	uiris
per	per	PRE	MORPH=empty	_	per
eas	is	PROdem	Case=Acc|Numb=Plur|Gend=Fem	_	eas
delegatis	delego1	VER	Numb=Plur|Gend=Com|Mood=Par|Tense=Perf|Voice=Pass	1	delegatis
.	.	PUNC	MORPH=empty	_	--IGN.--
Quanquam	quamquam1	ADVrel	MORPH=empty	1	Quanquam
hoc	hic1	PROdem	Case=Acc|Numb=Sing|Gend=Neut	1	hoc
omnino	omnino	ADV	Deg=Pos	_	omnino
perperam	perperam	ADV	Deg=Pos	_	perperam
et	et2	CONcoo	MORPH=empty	2	et
pessimè	malus3	ADV	Deg=Sup	3	pessime
receptũ	receptus1	NOMcom	Numb=Sing	1	receptu
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
vsquam	usquam	ADV	Deg=Pos	_	usquam
gentium	gens	NOMcom	Case=Gen|Numb=Plur	_	gentium
,	,	PUNC	MORPH=empty	_	--IGN.--
vt	ut4	CONsub	MORPH=empty	4	ut
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	1	sit
iurisdictio	iurisdictio	NOMcom	Case=Nom|Numb=Sing	_	iurisdictio
vlla	ullus	PROind	Case=Nom|Numb=Sing|Gend=Fem	_	ulla
pars	pars	NOMcom	Case=Nom|Numb=Sing	_	pars
patrimonij	patrimonium	NOMcom	Case=Gen|Numb=Sing	_	patrimonii
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
reditus	reditus	NOMcom	Case=Gen|Numb=Sing	_	reditus
nostri	nos	PROpos	Case=Gen|Numb=Sing|Gend=MascNeut	_	nostri
ac	ac1	CONcoo	MORPH=empty	1	ac
dominij	dominium	NOMcom	Case=Gen|Numb=Sing	_	dominii
,	,	PUNC	MORPH=empty	_	--IGN.--
sed	sed	CONcoo	MORPH=empty	_	sed
tam	tam	ADV	Deg=Pos	_	tam
latè	late	ADV	Deg=Pos	_	late
patet	pateo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	patet
et	et2	CONcoo	MORPH=empty	2	et
grassatur	grassor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	_	grassatur
in	in	PRE	MORPH=empty	_	in
omnia	omnis	PROind	Case=Acc|Numb=Plur|Gend=Neut	_	omnia
auaritia	auaritia	NOMcom	Case=Nom|Numb=Sing	_	auaritia
,	,	PUNC	MORPH=empty	_	--IGN.--
vt	ut4	CONsub	MORPH=empty	4	ut
etiam	etiam	ADV	Deg=Pos	_	etiam
res	res	NOMcom	Case=Acc|Numb=Plur	_	res
sacratissimas	sacratus	ADJqua	Case=Acc|Numb=Plur|Gend=Fem|Deg=Sup	_	sacratissimas
,	,	PUNC	MORPH=empty	_	--IGN.--
qualis	qualis1	PROrel	Case=Nom|Numb=Sing|Gend=MascFem	1	qualis
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
Magistratus	magistratus	NOMcom	Case=Gen|Numb=Sing	_	Magistratus
,	,	PUNC	MORPH=empty	_	--IGN.--
fecerit	facio	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	_	fecerit
patrimoniales	patrimonialis	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos	_	patrimoniales
et	et2	CONcoo	MORPH=empty	2	et
in	in	PRE	MORPH=empty	_	in
censu	census	NOMcom	Case=Abl|Numb=Sing	_	censu
numeret	numero1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	1	numeret
:	:	PUNC	MORPH=empty	_	--IGN.--
non	non	ADVneg	MORPH=empty	_	non
autem	autem	CONcoo	MORPH=empty	_	autem
virtuti	uirtus	NOMcom	Case=Dat|Numb=Sing	_	uirtuti
et	et2	CONcoo	MORPH=empty	2	et
doctrinæ	doctrina	NOMcom	Case=Dat|Numb=Sing	_	doctrinae
eorum	is	PROdem	Case=Gen|Numb=Plur|Gend=MascNeut	_	eorum
,	,	PUNC	MORPH=empty	_	--IGN.--
qui	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Masc	1	qui
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	sunt
capaces	capax	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Pos	_	capaces
eorũ	eorus	PROdem	Case=Abl|Numb=Sing	_	eoru
munerum	munus	NOMcom	Case=Gen|Numb=Plur	_	munerum
,	,	PUNC	MORPH=empty	_	--IGN.--
tribuat	tribuo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	_	tribuat
.	.	PUNC	MORPH=empty	_	--IGN.--
Vide	uideo	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2	_	Uide
quæ	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Neut	1	quae
scribuntur	scribo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	scribuntur
can	canis	ADVint	Numb=Sing	_	can
.	.	PUNC	MORPH=empty	_	--IGN.--
Mulierem	mulier	NOMcom	Case=Acc|Numb=Sing	_	Mulierem
33	3	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
quæst	quis	VER	Case=Acc|Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	quaest
{quæst}	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	quaest
.	.	PUNC	MORPH=empty	_	--IGN.--
5	3	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
de	de	PRE	MORPH=empty	_	de
hoc	hic1	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut	1	hoc
argumento	argumentum	NOMcom	Case=Abl|Numb=Sing	_	argumento
.	.	PUNC	MORPH=empty	_	--IGN.--
13	3	ADJcar	MORPH=empty	_	3
Adam	Adam	NOMpro	Case=Ind	_	Adam
enim	enim2	CONcoo	MORPH=empty	2	enim
prior	prior	ADJord	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp	_	prior
formatus	formo	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	_	formatus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
,	,	PUNC	MORPH=empty	_	--IGN.--
deinde	deinde	ADV	Deg=Pos	_	deinde
Eua	Eua	NOMcom	Case=Nom|Numb=Sing	_	Eua
.	.	PUNC	MORPH=empty	_	--IGN.--
A	ab	PRE	MORPH=empty	_	A
’	’	PUNC	MORPH=empty	_	--IGN.--
ιτιολoyίa	_	_	_	_	--IGN.--
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
saperioris	saper	ADJqua	Case=Gen|Numb=Sing|Gend=Com|Deg=Comp	_	saperioris
sententiæ	sententia	NOMcom	Case=Gen|Numb=Sing	_	sententiae
ab	ab	PRE	MORPH=empty	_	ab
ordine	ordo	NOMcom	Case=Abl|Numb=Sing	_	ordine
naturali	naturalis	ADJqua	Case=Abl|Numb=Sing|Gend=Com|Deg=Pos	_	naturali
ducta	duco	VER	Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	_	ducta
,	,	PUNC	MORPH=empty	_	--IGN.--
quem	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Masc	1	quem
Dominus	dominus	NOMcom	Case=Nom|Numb=Sing	_	Dominus
Deus	deus	NOMcom	Case=Nom|Numb=Sing	_	Deus
inter	inter	PRE	MORPH=empty	_	inter
vtrũque	uterque	PROind	Case=Abl|Gend=MascNeut	_	utruque
sexum	sexus	NOMcom	Case=Acc|Numb=Sing	_	sexum
constituit	constituo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	constituit
rerum	res	NOMcom	Case=Gen|Numb=Plur	_	rerum
initio	initium	NOMcom	Case=Abl|Numb=Sing	_	initio
,	,	PUNC	MORPH=empty	_	--IGN.--
et	et2	CONcoo	MORPH=empty	2	et
statim	statim	ADV	Deg=Pos	_	statim
ab	ab	PRE	MORPH=empty	_	ab
ipsa	ipse	PROdem	Case=Abl|Numb=Sing|Gend=Fem	_	ipsa
vtriusque	uterque	PROind	Case=Gen|Numb=Sing|Gend=Com	_	utriusque
creatione	creatio	NOMcom	Case=Abl|Numb=Sing	_	creatione
.	.	PUNC	MORPH=empty	_	--IGN.--
Is	is	PROdem	Case=Nom|Numb=Sing|Gend=Masc	_	Is
autem	autem	CONcoo	MORPH=empty	_	autem
fuit	sum1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	1	fuit
,	,	PUNC	MORPH=empty	_	--IGN.--
vt	ut4	CONsub	MORPH=empty	4	ut
pareret	pareo	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	_	pareret
mulier	mulier	NOMcom	Case=Nom|Numb=Sing	_	mulier
.	.	PUNC	MORPH=empty	_	--IGN.--
Vir	uir	NOMcom	Case=Nom|Numb=Sing	_	Uir
autẽ	autem	CONcoo	MORPH=empty	_	aute
caput	caput	NOMcom	Case=Nom|Numb=Sing	_	caput
et	et2	CONcoo	MORPH=empty	2	et
superior	superus	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp	_	superior
esset	sum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	1	esset
.	.	PUNC	MORPH=empty	_	--IGN.--
Id	is	PROdem	Case=Nom|Numb=Sing|Gend=Neut	_	Id
quod	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Neut	1	quod
ex	ex	PRE	MORPH=empty	_	ex
ipso	ipse	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut	_	ipso
ordine	ordo	NOMcom	Case=Abl|Numb=Sing	_	ordine
creationis	creatio	NOMcom	Case=Gen|Numb=Sing	_	creationis
apparet	appareo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	apparet
.	.	PUNC	MORPH=empty	_	--IGN.--
Adam	Adam	NOMpro	Numb=Sing	_	Adam
enim	enim2	CONcoo	MORPH=empty	2	enim
,	,	PUNC	MORPH=empty	_	--IGN.--
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc	1	qui
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
mas	mas	NOMcom	Case=Nom|Numb=Sing	_	mas
et	et2	CONcoo	MORPH=empty	2	et
vir	uir	NOMcom	Case=Nom|Numb=Sing	_	uir
,	,	PUNC	MORPH=empty	_	--IGN.--
prior	prior	ADJord	Case=Nom|Numb=Sing|Gend=Masc|Deg=Comp	_	prior
creatus	creo	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass	_	creatus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
.	.	PUNC	MORPH=empty	_	--IGN.--
Eua	eua	NOMcom	Case=Nom|Numb=Sing	_	Eua
autem	autem	CONcoo	MORPH=empty	_	autem
,	,	PUNC	MORPH=empty	_	--IGN.--
quæ	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Fem	1	quae
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
fœmina	foemen	NOMcom	Case=Nom|Numb=Plur	_	foemina
,	,	PUNC	MORPH=empty	_	--IGN.--
posterior	posterus	ADJqua	Case=Nom|Numb=Sing|Gend=MascFem|Deg=Comp	_	posterior
.	.	PUNC	MORPH=empty	_	--IGN.--
Sed	sed	CONcoo	MORPH=empty	_	Sed
tamen	tamen	ADV	Deg=Pos	_	tamen
eodem	idem	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut	_	eodem
die	dies	NOMcom	Case=Abl|Numb=Sing	_	die
vt	ut4	CONsub	MORPH=empty	1	ut
docetur	doceo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	_	docetur
tum	tum	ADV	Deg=Pos	_	tum
Genes	genes	NOMcom	Case=Nom|Numb=Plur	_	Genes
.	.	PUNC	MORPH=empty	_	--IGN.--
cap	capio2	VER	Numb=Sing	_	cap
.	.	PUNC	MORPH=empty	_	--IGN.--
I	1	ADJcar	MORPH=empty	_	1
.	.	PUNC	MORPH=empty	_	--IGN.--
vers	uers	NOMcom	Case=Nom|Numb=Sing	_	uers
.	.	PUNC	MORPH=empty	_	--IGN.--
27	3	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
tum	tum	ADV	Deg=Pos	_	tum
2	2	ADJcar	MORPH=empty	_	2
.	.	PUNC	MORPH=empty	_	--IGN.--
vers	uers	NOMcom	Case=Nom|Numb=Sing	_	uers
.	.	PUNC	MORPH=empty	_	--IGN.--
18	3	ADJcar	MORPH=empty	_	3
.	.	PUNC	MORPH=empty	_	--IGN.--
Non	non	ADVneg	MORPH=empty	_	Non
tam	tam	ADV	Deg=Pos	_	tam
autem	autem	CONcoo	MORPH=empty	_	autem
ex	ex	PRE	MORPH=empty	_	ex
natiuitatis	natiuitas	NOMcom	Case=Gen|Numb=Sing	_	natiuitatis
ordine	ordo	NOMcom	Case=Abl|Numb=Sing	_	ordine
Paulus	Paulus	NOMpro	Case=Nom|Numb=Sing	_	Paulus
argumentatur	argumentor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	_	argumentatur
et	et2	CONcoo	MORPH=empty	2	et
probat	probo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	_	probat
virum	uir	NOMcom	Case=Acc|Numb=Sing	_	uirum
superiorem	superus	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Comp	_	superiorem
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	1	esse
:	:	PUNC	MORPH=empty	_	--IGN.--
quàm	quam1	ADVrel	MORPH=empty	1	quam
ex	ex	PRE	MORPH=empty	_	ex
fine	finis	NOMcom	Case=Abl|Numb=Sing	_	fine
creationis	creatio	NOMcom	Case=Gen|Numb=Sing	_	creationis
mulieris	mulier	NOMcom	Case=Gen|Numb=Sing	_	mulieris
.	.	PUNC	MORPH=empty	_	--IGN.--
Nam	nam	CONcoo	MORPH=empty	_	Nam
creata	creo	VER	Case=Nom|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass	_	creata
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	1	est
fœ	foe	VER	Numb=Sing	1	foe
mina	mina	NOMcom	Case=Acc|Numb=Sing	_	mina
,	,	PUNC	MORPH=empty	_	--IGN.--
vt	ut4	CONsub	MORPH=empty	4	ut
esset	sum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	1	esset
viro	uir	NOMcom	Case=Dat|Numb=Sing	_	uiro
